name,rule_es,rule_ipa,family,priority,family_stress
-age/-idge,"Termina en -age o -idge = /ɪdʒ/, la E no suena",/ɪdʒ/,"[""aver*age*"", ""man*age*"", ""vill*age*"", ""dam*age*"", ""pack*age*""]",2,"[""AVerage"", ""MANage"", ""VILlage"", ""DAMage"", ""PACKage""]"
-tion/-sion,Termina en -tion o -sion = /ʃən/ (o /ʒən/ tras vocal),/ʃən/,"[""na*tion*"", ""ac*tion*"", ""deci*sion*"", ""vi*sion*"", ""mis*sion*""]",1,"[""NAtion"", ""ACtion"", ""deCIsion"", ""VIsion"", ""MISsion""]"
sílabas elididas,"Algunas vocales átonas desaparecen al hablar rápido, no se pronuncian todas las sílabas escritas",—,"[""diff~e~rent"", ""choc~o~late"", ""veg~e~table"", ""cam~e~ra"", ""fam~i~ly""]",2,"[""DIFferent"", ""CHOColate"", ""VEGetable"", ""CAMera"", ""FAMily""]"
letras mudas kn-/wr-,Al inicio de palabra kn- y wr- no pronuncian la primera consonante,—,"[""~k~now"", ""~k~nee"", ""~w~rite"", ""~w~rong"", ""~k~nife""]",2,"[""know"", ""knee"", ""write"", ""wrong"", ""knife""]"
schwa,"La vocal átona en sílabas no acentuadas se reduce a /ə/ (sonido neutro), sin importar qué letra sea",/ə/,"[""*a*bout"", ""b*a*nan*a*"", ""sof*a*"", ""*a*go"", ""camer*a*""]",1,"[""aBOUT"", ""baNANa"", ""SOfa"", ""aGO"", ""CAMera""]"
t muda después de n,"En inglés americano casual, la 't' entre 'n' y una vocal átona no se pronuncia — la n se convierte en un sonido nasal",—,"[""in~t~ernet"", ""in~t~ernational"", ""in~t~ervention"", ""in~t~errupt"", ""twen~t~y""]",2,"[""INternet"", ""interNAtional"", ""interVENtion"", ""interRUPT"", ""TWENty""]"
vocal corta i vs. larga i,"El español no distingue la 'i' corta de la larga — confundirlas cambia el significado (ship=barco vs. sheep=oveja)",ɪ / iː,"[""sh*i*p"", ""sh*ee*p"", ""l*i*ve"", ""l*ea*ve"", ""s*ea*t""]",1,"[""ship"", ""sheep"", ""live"", ""leave"", ""seat""]"
v no es b,"En español 'v' y 'b' suenan casi igual — en inglés son sonidos distintos: la 'v' vibra los dientes contra el labio inferior",v / b,"[""*v*ery"", ""*v*oice"", ""*v*isit"", ""de*v*elop"", ""in*v*ite""]",1,"[""VERy"", ""voice"", ""VISit"", ""deVELop"", ""inVITE""]"
th no es s/t/d,"El sonido 'th' no existe en español y se reemplaza por 's', 't' o 'd' — pero en inglés cambia el significado (think≠sink)",θ / ð,"[""*th*ink"", ""*th*anks"", ""*th*is"", ""*th*at"", ""*th*ree""]",1,"[""think"", ""thanks"", ""this"", ""that"", ""three""]"
consonante final que se cae,"En español casi todas las sílabas terminan en vocal — al hablar inglés se tiende a omitir la consonante final. Pronunciala bien, no la comas",—,"[""frien*d*"", ""wan*t*"", ""nee*d*"", ""as*k*"", ""wor*k*""]",1,"[""friend"", ""want"", ""need"", ""ask"", ""work""]"
sin e antes de s+consonante,"En español ninguna palabra empieza con 's' + consonante (se dice 'escuela') — al hablar inglés los hispanohablantes agregan una 'e' de más que no existe",sC-,"[""*s*chool"", ""*s*peak"", ""*s*tudent"", ""*s*pecial"", ""*S*panish""]",1,"[""school"", ""speak"", ""STUdent"", ""SPECial"", ""SPANish""]"
enlace entre palabras,"Cuando una consonante final se encuentra con una vocal al inicio de la próxima palabra, en inglés se enlazan como si fueran una sola — no hagas pausa entre ellas",—,"[""*get it*"", ""*turn on*"", ""*come in*"", ""*watch out*"", ""*not at all*""]",2,"[""geDDit"", ""turNON"", ""comIN"", ""watCHOUT"", ""noddaTALL""]"
reducciones con 'to',"'want to', 'going to' y 'have to' casi nunca se pronuncian completos al hablar — se reducen a 'wanna', 'gonna', 'hafta'",—,"[""*want to*"", ""*going to*"", ""*have to*"", ""*kind of*"", ""*a lot of*""]",2,"[""WANna"", ""GONna"", ""HAFta"", ""KINDa"", ""a LOTta""]"
