lemma,rank,type,translation_es,register,topic_tags,base,third_sg,progressive,past,past_participle
be,1,irregular_verb,ser/estar,neutral,"[""general""]",be,is,being,was,been
have,2,irregular_verb,tener,neutral,"[""general""]",have,has,having,had,had
do,3,irregular_verb,hacer,neutral,"[""general""]",do,does,doing,did,done
say,4,irregular_verb,decir,neutral,"[""general""]",say,says,saying,said,said
get,5,irregular_verb,conseguir,informal,"[""general""]",get,gets,getting,got,gotten
make,6,irregular_verb,hacer,neutral,"[""general""]",make,makes,making,made,made
go,7,irregular_verb,ir,neutral,"[""general""]",go,goes,going,went,gone
know,8,irregular_verb,saber/conocer,neutral,"[""general""]",know,knows,knowing,knew,known
take,9,irregular_verb,tomar,neutral,"[""general""]",take,takes,taking,took,taken
see,10,irregular_verb,ver,neutral,"[""general""]",see,sees,seeing,saw,seen
come,11,irregular_verb,venir,neutral,"[""general""]",come,comes,coming,came,come
think,12,irregular_verb,pensar,neutral,"[""general""]",think,thinks,thinking,thought,thought
look,13,regular_verb,mirar,neutral,"[""general""]",look,looks,looking,looked,looked
want,14,regular_verb,querer,neutral,"[""general""]",want,wants,wanting,wanted,wanted
give,15,irregular_verb,dar,neutral,"[""general""]",give,gives,giving,gave,given
use,16,regular_verb,usar,neutral,"[""general""]",use,uses,using,used,used
find,17,irregular_verb,encontrar,neutral,"[""general""]",find,finds,finding,found,found
tell,18,irregular_verb,contar/decir,neutral,"[""general""]",tell,tells,telling,told,told
ask,19,regular_verb,preguntar,neutral,"[""general""]",ask,asks,asking,asked,asked
work,20,regular_verb,trabajar,neutral,"[""trabajo""]",work,works,working,worked,worked
seem,21,regular_verb,parecer,neutral,"[""general""]",seem,seems,seeming,seemed,seemed
feel,22,irregular_verb,sentir,neutral,"[""general""]",feel,feels,feeling,felt,felt
try,23,regular_verb,intentar,neutral,"[""general""]",try,tries,trying,tried,tried
leave,24,irregular_verb,dejar/irse,neutral,"[""general""]",leave,leaves,leaving,left,left
call,25,regular_verb,llamar,neutral,"[""social""]",call,calls,calling,called,called
need,26,regular_verb,necesitar,neutral,"[""general""]",need,needs,needing,needed,needed
become,27,irregular_verb,convertirse en,neutral,"[""general""]",become,becomes,becoming,became,become
put,28,irregular_verb,poner,neutral,"[""general""]",put,puts,putting,put,put
mean,29,irregular_verb,significar,neutral,"[""general""]",mean,means,meaning,meant,meant
keep,30,irregular_verb,mantener,neutral,"[""general""]",keep,keeps,keeping,kept,kept
let,31,irregular_verb,dejar/permitir,informal,"[""general""]",let,lets,letting,let,let
begin,32,irregular_verb,empezar,neutral,"[""general""]",begin,begins,beginning,began,begun
help,33,regular_verb,ayudar,neutral,"[""general""]",help,helps,helping,helped,helped
talk,34,regular_verb,hablar,informal,"[""social""]",talk,talks,talking,talked,talked
turn,35,regular_verb,girar,neutral,"[""general""]",turn,turns,turning,turned,turned
start,36,regular_verb,comenzar,neutral,"[""general""]",start,starts,starting,started,started
show,37,irregular_verb,mostrar,neutral,"[""general""]",show,shows,showing,showed,shown
hear,38,irregular_verb,oír,neutral,"[""general""]",hear,hears,hearing,heard,heard
play,39,regular_verb,jugar,neutral,"[""social""]",play,plays,playing,played,played
run,40,irregular_verb,correr,neutral,"[""general""]",run,runs,running,ran,run
move,41,regular_verb,mover,neutral,"[""general""]",move,moves,moving,moved,moved
live,42,regular_verb,vivir,neutral,"[""general""]",live,lives,living,lived,lived
believe,43,regular_verb,creer,neutral,"[""general""]",believe,believes,believing,believed,believed
bring,44,irregular_verb,traer,neutral,"[""general""]",bring,brings,bringing,brought,brought
happen,45,regular_verb,pasar/suceder,neutral,"[""general""]",happen,happens,happening,happened,happened
write,46,irregular_verb,escribir,neutral,"[""trabajo""]",write,writes,writing,wrote,written
sit,47,irregular_verb,sentarse,neutral,"[""general""]",sit,sits,sitting,sat,sat
stand,48,irregular_verb,pararse,neutral,"[""general""]",stand,stands,standing,stood,stood
lose,49,irregular_verb,perder,neutral,"[""general""]",lose,loses,losing,lost,lost
meet,50,irregular_verb,conocer/reunirse,neutral,"[""social""]",meet,meets,meeting,met,met
